Date	Open	High	Low	Close	Volume
4/22/20	429.73 	433 	413 	421.42 	21123770
4/21/20	444.77 	447 	425.60 	433.83 	23177550
4/20/20	435.17 	444.49 	430.56 	437.49 	12655820
4/17/20	431 	432 	414.70 	422.96 	12616260
4/16/20	437 	449.52 	431.61 	439.17 	16128670
4/15/20	413 	434.98 	412.25 	426.75 	13561220
4/14/20	397.50 	417.82 	394.85 	413.55 	11580980
4/13/20	371.31 	400.51 	367.70 	396.72 	11692920
4/9/20	371.06 	372.10 	363.03 	370.72 	7711296
4/8/20	374.01 	378.39 	368.31 	371.12 	6908879
4/7/20	380 	381.33 	369.34 	372.28 	7046438
4/6/20	365.22 	380.29 	361.71 	379.96 	8183921
4/3/20	367.47 	370.90 	357.51 	361.76 	4860768
4/2/20	364.08 	370.99 	360.06 	370.08 	4592477
4/1/20	376.05 	380.23 	361.02 	364.08 	6672454
3/31/20	367.93 	383.01 	366.44 	375.50 	9366464
3/30/20	363 	377.80 	361.17 	370.96 	8621964
3/27/20	359.09 	368.56 	353 	357.12 	7948775
3/26/20	344 	363.84 	341.73 	362.99 	7235016
3/25/20	361.02 	362 	339.17 	342.39 	8767171
3/24/20	369.99 	372.93 	353.03 	357.32 	11638680
3/23/20	347.89 	366.11 	340.88 	360.27 	13449380
3/20/20	342.31 	350.49 	332 	332.83 	10853850
3/19/20	324.33 	348.51 	316.82 	332.03 	10615960
3/18/20	302.40 	331.58 	300 	315.47 	12593650
3/17/20	306.19 	322.90 	290.25 	319.75 	10013910
3/16/20	306.63 	334.35 	294.75 	298.84 	10559940
3/13/20	330.51 	336.42 	307.39 	336.30 	9458197
3/12/20	326.50 	335.72 	307.32 	315.25 	12071590
3/11/20	358.92 	362.98 	344.79 	349.92 	6058782
3/10/20	356.43 	364.54 	347.85 	364.13 	7604444
3/9/20	343.86 	357.47 	341.72 	346.49 	7405458
3/6/20	367.70 	371.31 	356.85 	368.97 	8147165
3/5/20	381 	391.40 	368.64 	372.78 	8746985
3/4/20	377.77 	384.01 	370.51 	383.79 	5487340
3/3/20	381.03 	393.52 	367.40 	368.77 	8364623
3/2/20	373.11 	381.36 	364.50 	381.05 	6997891
2/28/20	364.21 	376.77 	356.80 	369.03 	11178570
2/27/20	371.46 	391.56 	370.60 	371.71 	10967700
2/26/20	366.31 	382 	365 	379.24 	8961126
2/25/20	372 	375.65 	357.72 	360.09 	6481243
2/24/20	364.76 	372.82 	361 	368.70 	6936418
2/21/20	385.33 	387.32 	377.90 	380.07 	3935618
2/20/20	386.56 	389.70 	376.68 	386 	4079425
2/19/20	388.12 	392.95 	384.90 	386.19 	4896368
2/18/20	379.30 	389.54 	379.19 	387.78 	5180400
